customer_id,type_of_client,total_ytd_order,total_order_amount_ytd,YTD_amount_negative,total_order_amount_Q4,Q4_amount_negative,sex,marital_status,employment_type,occupation,country_of_origins,age,education,completed_years_of_education,marital_status,relationship_in_household,race
760566,NULL,51,123.85,1,0.00,1,1,1,Private,Exec-managerial,United-States,47,Masters,14,Married-civ-spouse,Husband,White
5977861,NULL,23,137.07,1,0.00,1,1,1,Self-emp-not-inc,Prof-specialty,United-States,64,Prof-school,15,Married-civ-spouse,Husband,White
5990855,Personal,5,62.65,1,62.65,1,0,0,Self-emp-not-inc,Other-service,United-States,25,HS-grad,9,Never-married,Unmarried,White
6215488,Wholesaler,227,3005.42,1,967.02,1,1,0,Private,Prof-specialty,United-States,55,12th,8,Widowed,Not-in-family,White
6651064,NULL,6,43.99,1,0.00,1,1,1,Self-emp-inc,Sales,United-States,45,HS-grad,9,Married-civ-spouse,Husband,White
6865793,NULL,175,568.32,1,568.32,1,1,1,Private,Prof-specialty,United-States,63,HS-grad,9,Married-civ-spouse,Husband,White
7368802,NULL,72,340.67,1,0.00,1,1,0,Private,Other-service,Mexico,26,11th,7,Never-married,Other-relative,White
7703001,NULL,11,49.10,1,0.00,1,0,0,Private,Adm-clerical,United-States,22,Assoc-voc,11,Never-married,Not-in-family,White
9794193,NULL,83,1003.15,1,0.00,1,1,1,Self-emp-inc,Other-service,Iran,33,Bachelors,13,Married-civ-spouse,Husband,Asian-Pac-Islander
9929654,Wholesaler,16,256.12,1,256.12,1,1,1,Private,Craft-repair,United-States,31,Some-college,10,Married-civ-spouse,Husband,White
9949720,NULL,65,334.95,1,334.95,1,1,1,Private,Transport-moving,United-States,29,HS-grad,9,Married-civ-spouse,Husband,White
11837051,Wholesaler,23,90.11,1,90.11,1,0,0,Private,Sales,United-States,32,Some-college,10,Divorced,Unmarried,White
12313620,Wholesaler,78,1077.42,1,341.22,1,0,0,Private,Other-service,El-Salvador,36,1st-4th,2,Never-married,Other-relative,Other
13333024,NULL,15,187.81,1,0.00,1,0,0,Private,Other-service,United-States,40,Some-college,10,Divorced,Not-in-family,White
13804677,NULL,116,526.43,1,309.14,1,1,1,Private,Exec-managerial,United-States,54,HS-grad,9,Married-civ-spouse,Husband,White
15021904,NULL,42,542.51,1,57.90,1,1,0,Private,Handlers-cleaners,United-States,29,Assoc-voc,11,Divorced,Unmarried,White
16082288,NULL,25,367.43,1,0.00,1,1,1,Private,Craft-repair,United-States,53,HS-grad,9,Married-civ-spouse,Husband,White
17747594,NULL,21,244.25,1,0.00,1,1,0,Private,Adm-clerical,United-States,18,HS-grad,9,Never-married,Own-child,White
17945485,NULL,43,368.63,1,0.00,1,1,0,Private,Craft-repair,United-States,28,Bachelors,13,Never-married,Own-child,White
17974102,NULL,9,89.14,1,4.79,1,1,1,Private,Transport-moving,United-States,30,HS-grad,9,Married-civ-spouse,Husband,White
19072398,NULL,14,117.02,1,0.00,1,0,0,Private,Machine-op-inspct,India,47,Masters,14,Separated,Unmarried,Asian-Pac-Islander
19143633,NULL,3,4.70,1,0.00,1,0,0,Private,Prof-specialty,United-States,21,Some-college,10,Never-married,Own-child,White
19787478,NULL,59,342.61,1,342.61,1,0,0,Private,Sales,United-States,17,12th,8,Never-married,Own-child,White
19817200,Wholesaler,19,139.31,1,0.00,1,1,1,State-gov,Transport-moving,Puerto-Rico,50,HS-grad,9,Married-civ-spouse,Husband,White
19822086,NULL,53,508.34,1,0.00,1,1,1,Private,Craft-repair,United-States,37,Some-college,10,Married-civ-spouse,Husband,White
